StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_1,Q5_2,Q5_7,Q6,Q7,Q8,Q9,Q9_9_TEXT,Q10,Q10_11_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q16_9_TEXT,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q33_4_TEXT,Q34,Q35,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understood the information above and I agree to voluntary participate in this study.,How would you describe your current knowledge of AI?,Are you using generative AI tools like ChatGPT outside of work?,"How familiar are you with the following generative AI tools? - Text generation (ChatGPT, Gemini, Claude)","How familiar are you with the following generative AI tools? - Image generation (DALL-E, Midjourney)","How familiar are you with the following generative AI tools? - Speech generation (Descript, ElevenLabs, Resemble.ai)",How confident are you in your ability to use generative AI in your current job responsibilities?,A growing number of companies are restricting the use of ChatGPT and other AI tools internally. Are you allowed to use ChatGPT at your workplace?,Are you using generative AI tools like ChatGPT at work?,Which AI tools are you currently using at work? - Selected Choice,Which AI tools are you currently using at work? - Other - Text,For what purposes are you using AI at work? - Selected Choice,For what purposes are you using AI at work? - Other - Text,"In some professions, the use of AI is controversial. In your role, do you see any issues or concerns with using AI (e.g., an artist using AI for creative work or a doctor using AI for diagnosing patients)?","How interested are you in learning to use generative AI tools (e.g., ChatGPT, DALL·E) to enhance your work in your current role?",How much time are you willing to spend on learning new generative AI tools per week?,What AI topics would you be most interested in learning about?,"What is your preferred method of learning new skills, such as using AI tools? - Selected Choice","What is your preferred method of learning new skills, such as using AI tools? - Other - Text","What barriers, if any, prevent you from learning AI tools or technologies? - Selected Choice","What barriers, if any, prevent you from learning AI tools or technologies? - Other - Text",Does your company provide enough support for employee training and development?,"In the past year (within the last 12 months), have you participated in any AI-related training, conference, or workshop funded by your company?",Do you think it is important for employees in your company to learn about new AI tools?,How would you rate your current job satisfaction?,Do you think the use of AI tools at your company affects your job satisfaction?,How comfortable are you with the idea of integrating AI tools into your daily work tasks?,Do you think using AI tools could help you complete your work faster?,Do you think using AI tools could help reduce errors in your work?,Do you believe that your company's use of AI tools puts your current job at risk?,Do you believe your ability to use AI tools contributes positively to your job security?,Which industry does your company operate in?,What is your role or department in the company?,What is the size of your company?,What is your company's annual revenue?,List of Countries,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is the highest level of education you have completed?,How old are you?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID23""}","{""ImportId"":""QID59""}","{""ImportId"":""QID52""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_9_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_11_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID12""}","{""ImportId"":""QID43""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_7_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_9_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID20""}","{""ImportId"":""QID58""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID45""}","{""ImportId"":""QID5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_4_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID53""}","{""ImportId"":""PROLIFIC_PID""}"
10/3/2024 4:26,10/3/2024 4:32,IP Address,178.166.63.147,100,398,TRUE,10/3/2024 4:32,R_8imLFrSPjGuu3gu,,,,,38.731,-9.1373,anonymous,EN,Yes,I have no knowledge of AI,"Yes, I use them regularly.",10,2,0,Neutral,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,Google Bard",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Personalization of products/services,Research and development,Improving software or product development",,"No, I don’t see any problems with using AI in my role.",Very interested,3-5 hours,"Text generation,Speech generation","Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of time,Lack of support from management or organization,Uncertainty about where to start",,"No, there is little to no support for employee training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Somewhat satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Definitely yes,Definitely not,Definitely yes,Information Services and Data Processing,Executive & Management,Fewer than 5 employees,"Less than €500,000",Portugal,Male,,Master's degree,35-44 years old,
10/3/2024 7:15,10/3/2024 7:21,IP Address,45.13.202.28,100,354,TRUE,10/3/2024 7:21,R_2SdFs9cSxrBheW5,,,,,40.4172,-3.684,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",6,0,0,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I use them regularly for my work.","ChatGPT,Google Bard,Other",Google Bard is now Gemini ,"Data analysis and insights,Enhancing productivity or workflow,Research and development,Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,"Text generation,Image generation,Speech generation","Instructor-led workshops or webinars,Hands-on practice through projects or assignments",,"Lack of time,Lack of access to resources or training,Lack of support from management or organization,Uncertainty about where to start",,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Extremely dissatisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Definitely yes,Probably yes,Probably not,Probably yes,Software,IT & Technical Support,More than 250 employees,€5 million to €10 million,Netherlands,Male,,Bachelor's degree,25-34 years old,
10/3/2024 7:50,10/3/2024 7:55,IP Address,85.246.226.133,100,276,TRUE,10/3/2024 7:55,R_8RRWoIjvk47GKIh,,,,,38.731,-9.1373,anonymous,EN,Yes,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I use them regularly.",10,3,1,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,Microsoft Copilot,Other",Claude,"Automating repetitive tasks,Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow,Research and development,Improving software or product development",,"No, I don’t see any problems with using AI in my role.",Neutral,Less than 1 hour,Text generation,Watching video tutorials,,No significant barriers,,"No, there is little to no support for employee training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Extremely satisfied,AI has no impact on my job satisfaction,Very comfortable,Definitely yes,Might or might not,Definitely not,Definitely yes,Software,Software Development,10-49 employees,I do not know,Portugal,Male,,Bachelor's degree,25-34 years old,
10/3/2024 11:13,10/3/2024 11:20,IP Address,148.69.192.153,100,420,TRUE,10/3/2024 11:20,R_89nRb51npUWwijH,,,,,38.731,-9.1373,anonymous,EN,Yes,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models",Rarely,7,5,2,Neutral,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.","ChatGPT,OpenAI API",,"Data analysis and insights,Customer support (e.g., chatbots),Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Neutral,Less than 1 hour,"Text generation,Speech generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments",,No significant barriers,,"Yes, there is sufficient support and resources for training.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is somewhat important.",Extremely satisfied,AI has no impact on my job satisfaction,Neutral,Might or might not,Might or might not,Probably not,Probably yes,Other,Software Development,101-250 employees,I do not know,Portugal,Male,,Master's degree,25-34 years old,
10/3/2024 12:01,10/3/2024 12:07,IP Address,148.63.45.98,100,403,TRUE,10/3/2024 12:07,R_8R71aezfDk3ioo1,,,,,38.7556,-9.2259,anonymous,EN,Yes,I am aware of AI but I haven't used any AI tools,"No, I have not used them.",2,0,0,Not very confident,I’m not sure.,"No, I do not use them at work.",None of the above,,None of the above,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Neutral,1-3 hours,Text generation,"Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals",,"Lack of time,Fear of AI replacing jobs,Uncertainty about where to start",,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Somewhat comfortable,Might or might not,Probably yes,Probably yes,Probably yes,Finance and Insurance,Software Development,101-250 employees,I do not know,Portugal,Female,,Master's degree,25-34 years old,
10/3/2024 14:58,10/3/2024 15:04,IP Address,95.136.69.16,100,380,TRUE,10/3/2024 15:04,R_2U2Th3qK2ubG39T,,,,,38.731,-9.1373,anonymous,EN,Yes,"I can develop AI models using Tensorflow, PyTorch or other programming frameworks","Yes, I use them regularly.",10,5,1,Confident,"Yes, but there are some restrictions or guidelines.","Yes, I use them regularly for my work.","ChatGPT,OpenAI API,Hugging Face,Other","JetbrainsAI, NotionAI","Automating repetitive tasks,Generating content (e.g., text, images, code),Enhancing productivity or workflow,Improving software or product development",,I’m not sure.,Somewhat interested,1-3 hours,Text generation,Hands-on practice through projects or assignments,,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably yes,Probably not,Might or might not,Consulting,Other,10-49 employees,€1 million to €5 million,Portugal,Male,,Master's degree,25-34 years old,
10/3/2024 15:44,10/3/2024 16:11,IP Address,89.115.138.8,100,1620,TRUE,10/3/2024 16:11,R_8GQuT1sMl9gKXvl,,,,,38.731,-9.1373,anonymous,EN,Yes,I have no knowledge of AI,"No, I have not used them.",1,0,0,Not confident,"Yes, but there are some restrictions or guidelines.","No, I do not use them at work.",None of the above,,None of the above,,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,Less than 1 hour,Text generation,"Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching",,"Difficulty understanding the concepts,Concern that AI may not be relevant to my role,Uncertainty about where to start",,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Definitely yes,Might or might not,Definitely yes,Healthcare and Pharmaceuticals,Operations,More than 250 employees,More than €50 million,Portugal,Female,,Bachelor's degree,25-34 years old,
10/4/2024 12:32,10/4/2024 12:40,IP Address,2.82.176.130,100,475,TRUE,10/4/2024 12:40,R_8K4WoFLSqbIOfsZ,,,,,38.938,-9.3178,anonymous,EN,Yes,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I have used them occasionally.",10,8,4,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,OpenAI API",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Research and development",,"No, I don’t see any problems with using AI in my role.",Somewhat interested,Less than 1 hour,"Text generation,Image generation","Hands-on practice through projects or assignments,Reading documentation or manuals",,Lack of time,,"No, there is little to no support for employee training.","No, I have not participated, but such opportunities were offered within the last year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Very uncomfortable,Probably yes,Might or might not,Probably not,Might or might not,Publishing,Software Development,101-250 employees,€5 million to €10 million,Portugal,Male,,Less than high school,25-34 years old,
10/5/2024 0:46,10/5/2024 0:56,IP Address,46.50.6.31,100,589,TRUE,10/5/2024 0:56,R_8IbOUv9E6Ip7GrS,,,,,41.1691,-8.6793,anonymous,EN,Yes,"I can use AI tools via APIs such as the OpenAI API, by writing code but I cannot develop models","Yes, I have used them occasionally.",5,3,1,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,OpenAI API,Microsoft Copilot",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Improving software or product development",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,Less than 1 hour,Text generation,"Hands-on practice through projects or assignments,Reading documentation or manuals",,Lack of time,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Very comfortable,Might or might not,Probably not,Might or might not,Might or might not,"Education (K-12, College, University, Adult)",Software Development,101-250 employees,€1 million to €5 million,Portugal,Male,,Bachelor's degree,25-34 years old,
10/7/2024 2:15,10/7/2024 2:29,IP Address,109.96.134.202,100,835,TRUE,10/7/2024 2:29,R_8wT2P7laNOLpRn3,,,,,45.4518,28.0522,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,0,0,Somewhat confident,"Yes, I am allowed to use it without restrictions.","Yes, I have used them occasionally for work.",ChatGPT,,Enhancing productivity or workflow,,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,Speech generation,Hands-on practice through projects or assignments,,"Lack of time,Uncertainty about where to start,No significant barriers",,"No, there is little to no support for employee training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Very comfortable,Definitely yes,Definitely yes,AI tools are not being used in my company,Probably yes,Telecommunications,Other,50-100 employees,I do not know,Romania,Female,,Bachelor's degree,45-54 years old,
10/7/2024 2:19,10/7/2024 2:32,IP Address,109.96.134.202,100,762,TRUE,10/7/2024 2:32,R_838GFzybXVqrqAY,,,,,45.4518,28.0522,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",7,3,3,Somewhat confident,"Yes, I am allowed to use it without restrictions.",Rarely,"ChatGPT,Microsoft Copilot",,"Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow",,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI tools are not being used in my company,Somewhat comfortable,Probably yes,Probably yes,Probably not,Probably yes,Telecommunications,Executive & Management,More than 250 employees,Less than €1 million,Romania,Male,,Master's degree,45-54 years old,
10/7/2024 3:04,10/7/2024 3:10,IP Address,213.233.110.40,100,376,TRUE,10/7/2024 3:10,R_2lzdKB5cK5Ed0Gw,,,,,44.4152,26.166,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","No, I have not used them.",6,5,2,Neutral,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",Microsoft Copilot,,"Automating repetitive tasks,Data analysis and insights,Enhancing productivity or workflow,Predictive analytics and forecasting,Decision-making assistance",,"Yes, I have some concerns, but I believe the benefits outweigh the risks.",Somewhat interested,1-3 hours,"Text generation,Image generation","Self-paced online courses,Instructor-led workshops or webinars,Hands-on practice through projects or assignments,One-on-one mentoring or coaching,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Some support is provided, but it's limited.","No, I have not participated, and no such opportunities were offered in the past year.","No, it is not very important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably not,Probably not,Definitely not,Probably not,Scientific or Technical Services,Operations,10-49 employees,€1 million to €5 million,Romania,Female,,Master's degree,55-64 years old,
10/7/2024 15:32,10/7/2024 15:37,IP Address,172.225.163.81,100,305,TRUE,10/7/2024 15:37,R_8tiXGbA8L97hTln,,,,,38.731,-9.1373,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I have used them occasionally.",8,8,0,Somewhat confident,"Yes, but there are some restrictions or guidelines.","Yes, I have used them occasionally for work.",ChatGPT,,"Automating repetitive tasks,Data analysis and insights,Improving software or product development",,"No, I don’t see any problems with using AI in my role.",Somewhat interested,1-3 hours,"Text generation,Image generation","Instructor-led workshops or webinars,Hands-on practice through projects or assignments,Reading documentation or manuals,Watching video tutorials",,No significant barriers,,"Yes, there is sufficient support and resources for training.","No, I have not participated, and no such opportunities were offered in the past year.","Yes, it is somewhat important.",Somewhat satisfied,AI has no impact on my job satisfaction,Somewhat comfortable,Probably yes,Probably yes,Probably not,Might or might not,Software,IT & Technical Support,More than 250 employees,I do not know,Portugal,Male,,High school diploma or equivalent,25-34 years old,
10/8/2024 11:22,10/8/2024 11:32,IP Address,5.179.138.26,100,582,TRUE,10/8/2024 11:32,R_80l7A0UcTfmcWjL,,,,,43.1479,12.1097,anonymous,EN,Yes,"I can use AI tools such as ChatGPT, but I cannot code","Yes, I use them regularly.",10,10,3,Confident,"Yes, I am allowed to use it without restrictions.","Yes, I use them regularly for my work.","ChatGPT,DALL·E,MidJourney,Other",,"Automating repetitive tasks,Generating content (e.g., text, images, code),Data analysis and insights,Enhancing productivity or workflow,Personalization of products/services,Predictive analytics and forecasting,Research and development,Decision-making assistance,Improving software or product development,Other",,"No, I don’t see any problems with using AI in my role.",Very interested,5-10 hours,"Text generation,Image generation","Self-paced online courses,Hands-on practice through projects or assignments,Watching video tutorials",,"Lack of time,Difficulty understanding the concepts",,"Yes, there is sufficient support and resources for training.","Yes, I have participated in company-funded AI training or conferences within the last year.","Yes, it is very important.",Extremely satisfied,"Yes, AI has significantly improved my job satisfaction",Very comfortable,Definitely yes,Definitely yes,Probably yes,Definitely yes,"Arts, Entertainment, and Recreation",Creative & Design,Fewer than 10 employees,"Less than €500,000",Bulgaria,Male,,High school diploma or equivalent,18-24 years old,
10/1/2024 1:02,10/2/2024 6:24,IP Address,145.101.156.215,6,105747,FALSE,10/9/2024 6:25,R_2qDqsNTbBBFWPBm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2024 6:24,10/2/2024 6:25,IP Address,145.101.220.41,6,56,FALSE,10/9/2024 6:25,R_8izLiOv46U3UllT,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2024 3:29,10/3/2024 10:22,IP Address,94.62.218.81,6,24823,FALSE,10/10/2024 10:23,R_8knXP4lJwyphjJB,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2024 6:08,10/7/2024 6:09,IP Address,5.13.172.1,6,76,FALSE,10/14/2024 6:09,R_2wgnsGzmeJNgVUm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
